happy,ladder,sex,marital,educ,work,income,region,age,leftout
6,8,Male,Married/living with a partner,Tertiary education,Employed,High,North West,49,Neither agree nor disagree
7,5,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,West Midlands,60,Neither agree nor disagree
1,7,Male,Single,Upper secondary education,Other,Medium-high,East Midlands,61,Strongly agree
10,8,Male,Married/living with a partner,Tertiary education,Other,Medium-high,North West,59,Disagree
7,8,Female,Married/living with a partner,Upper secondary education,Employed,High,East of England,40,Disagree
3,99,Male,Married/living with a partner,Upper secondary education,Employed,High,East Midlands,39,Disagree
6,99,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,61,
5,6,Male,Married/living with a partner,Lower secondary or below,Employed,,Wales,57,Disagree
6,8,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,Yorkshire and the Humber,67,Disagree
5,5,Male,Married/living with a partner,Lower secondary or below,Other,Low,London,76,Agree
10,6,Female,Single,Upper secondary education,Unemployed/not working,Low,North East,25,Disagree
7,5,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,North West,23,Disagree
6,6,Female,Married/living with a partner,Tertiary education,Other,,East of England,73,Disagree
7,7,Male,Married/living with a partner,Upper secondary education,Other,,West Midlands,75,Disagree
4,4,Male,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,West Midlands,64,Neither agree nor disagree
4,8,Female,Married/living with a partner,Lower secondary or below,Employed,High,East Midlands,53,Strongly disagree
9,9,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,West Midlands,59,Disagree
9,9,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Scotland,76,Disagree
9,7,Female,Married/living with a partner,Tertiary education,Other,Medium-high,East of England,66,Disagree
7,8,Male,Married/living with a partner,Tertiary education,Employed,,West Midlands,43,Disagree
9,6,Male,Married/living with a partner,Lower secondary or below,Other,,Scotland,80,Neither agree nor disagree
5,6,Female,Married/living with a partner,Upper secondary education,Other,,North West,61,Strongly disagree
9,6,Male,Divorced/Separated,Upper secondary education,Other,High,South East,62,Disagree
7,8,Male,Married/living with a partner,Lower secondary or below,Other,,North West,68,Disagree
8,7,Male,Married/living with a partner,Tertiary education,Employed,High,Yorkshire and the Humber,52,Strongly disagree
5,6,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,South East,62,Neither agree nor disagree
9,8,Male,Married/living with a partner,Lower secondary or below,Other,Low-medium,South East,76,Strongly disagree
2,5,Male,Married/living with a partner,Upper secondary education,Employed,High,East Midlands,48,Neither agree nor disagree
8,9,Male,Married/living with a partner,Upper secondary education,Employed,,East Midlands,53,Neither agree nor disagree
7,6,Female,Married/living with a partner,Tertiary education,Employed,High,North West,28,Neither agree nor disagree
6,7,Female,Single,Tertiary education,Other,Medium-high,Wales,67,Strongly disagree
8,7,Female,Single,Upper secondary education,Other,,East Midlands,70,Strongly disagree
9,6,Female,Married/living with a partner,Upper secondary education,Other,Low,East of England,77,Disagree
7,6,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Wales,70,Strongly disagree
8,6,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,North West,70,Disagree
5,6,Female,Married/living with a partner,Tertiary education,Employed,Low,South West,60,Neither agree nor disagree
8,6,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,Yorkshire and the Humber,36,Disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Employed,,Yorkshire and the Humber,54,Disagree
7,8,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,North West,74,Disagree
2,7,Female,Divorced/Separated,Upper secondary education,Other,Low-medium,East of England,66,Disagree
6,10,Male,Married/living with a partner,Tertiary education,Other,,London,76,Strongly disagree
10,99,Male,Single,Tertiary education,Employed,,North West,32,Agree
8,9,Female,Married/living with a partner,Tertiary education,Other,Low-medium,South West,67,Strongly disagree
7,7,Female,Married/living with a partner,Tertiary education,Other,Medium-high,North East,63,Neither agree nor disagree
2,6,Male,Single,Upper secondary education,Unemployed/not working,Low,East Midlands,53,Neither agree nor disagree
3,6,Female,Single,Tertiary education,Employed,Low-medium,South West,34,Strongly disagree
9,6,Female,Married/living with a partner,Tertiary education,Other,,East Midlands,57,Disagree
1,1,Male,Single,Lower secondary or below,Other,Low,South East,61,Strongly agree
3,5,Male,Single,Lower secondary or below,Employed,,Northern Ireland,36,Agree
6,9,Female,Single,Upper secondary education,Other,Low-medium,East of England,70,Neither agree nor disagree
9,6,Female,Married/living with a partner,Tertiary education,Employed,High,East of England,74,Disagree
7,7,Male,Single,Upper secondary education,Other,Low,North West,76,Neither agree nor disagree
10,8,Female,Married/living with a partner,Tertiary education,Employed,High,South East,35,Disagree
3,3,Male,Married/living with a partner,Upper secondary education,Full time student,Medium-high,East of England,27,Disagree
8,7,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,31,Disagree
1,5,Female,Divorced/Separated,Upper secondary education,Unemployed/not working,Low,West Midlands,68,Neither agree nor disagree
7,9,Male,Married/living with a partner,Upper secondary education,Other,Medium-high,South West,71,Disagree
5,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,North West,72,Disagree
9,6,Female,Divorced/Separated,Upper secondary education,Employed,Low,North West,57,Disagree
7,99,Male,Married/living with a partner,Lower secondary or below,Other,Low,North West,65,Disagree
7,6,Female,Married/living with a partner,Upper secondary education,Employed,,North West,53,Disagree
5,6,Female,Married/living with a partner,Upper secondary education,Other,Low,East Midlands,61,Neither agree nor disagree
7,2,Male,Married/living with a partner,Lower secondary or below,Other,Low,West Midlands,44,Agree
6,7,Female,Single,Lower secondary or below,Other,Low,Yorkshire and the Humber,74,Agree
6,9,Male,Married/living with a partner,Tertiary education,Other,High,London,68,Disagree
9,7,Male,Married/living with a partner,Upper secondary education,Other,High,North East,65,Disagree
8,8,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,South East,31,Disagree
6,5,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Wales,67,Neither agree nor disagree
6,4,Female,Single,Tertiary education,Unemployed/not working,Low,Wales,63,Disagree
4,7,Female,Single,Upper secondary education,Other,,South West,72,Disagree
9,8,Male,Married/living with a partner,Lower secondary or below,Employed,,London,56,Strongly disagree
8,7,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,North West,78,Disagree
2,2,Female,Single,Lower secondary or below,Other,Low,West Midlands,66,Agree
8,99,Female,Married/living with a partner,Tertiary education,Unemployed/not working,Low-medium,East of England,30,
4,99,Female,Married/living with a partner,Upper secondary education,Unemployed/not working,Medium-high,South East,28,Disagree
3,7,Male,Married/living with a partner,Tertiary education,Employed,High,South East,37,Disagree
7,8,Female,Married/living with a partner,Tertiary education,Employed,High,London,35,Strongly disagree
2,3,Female,Married/living with a partner,Lower secondary or below,Other,Low,Wales,67,Agree
6,9,Male,Married/living with a partner,Tertiary education,Employed,High,West Midlands,46,Disagree
7,8,Female,Married/living with a partner,Upper secondary education,Employed,High,Yorkshire and the Humber,36,Strongly disagree
7,8,Female,Single,Upper secondary education,Full time student,,South West,21,Disagree
5,7,Male,Single,Tertiary education,Employed,High,North West,31,Neither agree nor disagree
10,7,Male,Single,Lower secondary or below,Other,Medium-high,Wales,75,Disagree
7,7,Female,Single,Upper secondary education,Other,Low-medium,Wales,76,Neither agree nor disagree
6,3,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Medium-high,Yorkshire and the Humber,34,Strongly agree
7,5,Male,Married/living with a partner,Tertiary education,Employed,High,London,27,Disagree
0,3,Male,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,East of England,64,Strongly agree
7,8,Female,Married/living with a partner,Tertiary education,Employed,,London,31,Disagree
5,4,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,Northern Ireland,32,Neither agree nor disagree
8,8,Female,Married/living with a partner,Tertiary education,Unemployed/not working,High,South West,44,Disagree
8,6,Female,Married/living with a partner,Upper secondary education,Employed,High,London,51,Disagree
4,9,Female,Single,Upper secondary education,Employed,High,London,25,Disagree
9,8,Male,Married/living with a partner,Lower secondary or below,Other,Low,South West,70,Strongly disagree
6,6,Female,Married/living with a partner,Tertiary education,Employed,High,Yorkshire and the Humber,63,Neither agree nor disagree
3,8,Female,Married/living with a partner,Tertiary education,Unemployed/not working,High,East Midlands,56,Strongly disagree
10,8,Male,Married/living with a partner,Tertiary education,Other,High,South West,79,Strongly disagree
7,6,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,Northern Ireland,59,Disagree
7,5,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,,East of England,55,Disagree
5,6,Female,Married/living with a partner,Lower secondary or below,Employed,Low-medium,West Midlands,34,Neither agree nor disagree
1,3,Female,Single,Tertiary education,Employed,Low,West Midlands,48,Neither agree nor disagree
4,7,Female,Married/living with a partner,Tertiary education,Employed,High,East Midlands,20,Disagree
8,5,Male,Married/living with a partner,Tertiary education,Other,Low-medium,North West,81,Disagree
6,6,Female,Married/living with a partner,Upper secondary education,Other,Low-medium,South West,66,Disagree
2,5,Female,Married/living with a partner,Lower secondary or below,Employed,,South East,32,Neither agree nor disagree
8,8,Female,Single,Tertiary education,Employed,Low,Yorkshire and the Humber,28,Disagree
8,6,Female,Single,Lower secondary or below,Employed,Low-medium,Northern Ireland,58,Disagree
7,6,Female,Married/living with a partner,Upper secondary education,Other,Low,East Midlands,70,Neither agree nor disagree
5,6,Female,Single,Lower secondary or below,Other,,London,76,Agree
6,6,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,Northern Ireland,43,Disagree
9,7,Female,Married/living with a partner,Tertiary education,Other,Medium-high,Scotland,71,Disagree
5,6,Female,Single,Upper secondary education,Employed,High,London,39,Neither agree nor disagree
2,3,Male,Single,Tertiary education,Unemployed/not working,Low,London,56,Neither agree nor disagree
4,8,Female,Married/living with a partner,Upper secondary education,Employed,High,Wales,45,Disagree
6,5,Female,Divorced/Separated,Lower secondary or below,Other,Low,London,66,Disagree
9,7,Female,Married/living with a partner,Tertiary education,Employed,High,South West,35,Disagree
8,6,Male,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,East of England,35,Strongly agree
4,4,Male,Single,Tertiary education,Employed,,Wales,53,Agree
3,6,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,40,Neither agree nor disagree
9,8,Male,Married/living with a partner,Lower secondary or below,Other,,East of England,71,Disagree
9,8,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Yorkshire and the Humber,54,Neither agree nor disagree
4,6,Male,Married/living with a partner,Upper secondary education,Employed,Low,South East,39,Agree
8,9,Male,Married/living with a partner,Tertiary education,Employed,High,South East,44,Strongly disagree
2,99,Male,Married/living with a partner,Upper secondary education,Employed,,West Midlands,62,Neither agree nor disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Employed,Medium-high,West Midlands,51,Disagree
8,7,Female,Married/living with a partner,Tertiary education,Other,,South West,70,Disagree
10,99,Male,Single,Upper secondary education,Employed,,South East,28,Neither agree nor disagree
8,5,Female,Single,Tertiary education,Employed,Medium-high,South East,36,Disagree
7,5,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,South East,74,Neither agree nor disagree
8,7,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,North West,59,Neither agree nor disagree
7,7,Female,Married/living with a partner,Tertiary education,Other,Low-medium,Yorkshire and the Humber,63,Strongly disagree
7,8,Female,Married/living with a partner,Tertiary education,Other,,Scotland,71,Strongly disagree
0,6,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,South East,56,Agree
0,8,Female,Married/living with a partner,Tertiary education,Other,Low-medium,North West,61,Strongly agree
4,3,Female,Single,Upper secondary education,Full time student,Medium-high,Northern Ireland,26,Strongly agree
5,5,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,South East,61,Neither agree nor disagree
8,5,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,South West,58,Disagree
4,7,Female,Single,Upper secondary education,Full time student,Low,North West,20,Disagree
8,6,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,East Midlands,37,Neither agree nor disagree
10,4,Female,Married/living with a partner,Lower secondary or below,Other,Low,East of England,77,Neither agree nor disagree
5,3,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,West Midlands,35,Neither agree nor disagree
8,8,Female,Married/living with a partner,Tertiary education,Employed,,London,57,Strongly disagree
4,6,Female,Married/living with a partner,Lower secondary or below,Other,Low,North West,70,Disagree
1,6,Male,Married/living with a partner,Upper secondary education,Other,Low,South East,67,Agree
9,6,Female,Married/living with a partner,Upper secondary education,Other,Low,Yorkshire and the Humber,69,Strongly disagree
9,6,Female,Single,Lower secondary or below,Other,Low,North East,70,Disagree
7,8,Male,Divorced/Separated,Upper secondary education,Employed,High,East of England,54,Disagree
7,6,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,Northern Ireland,32,Disagree
4,8,Female,Married/living with a partner,Tertiary education,Employed,High,West Midlands,35,Disagree
9,9,Female,Married/living with a partner,Tertiary education,Employed,High,North West,66,Neither agree nor disagree
5,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,North West,60,Neither agree nor disagree
1,1,Female,Single,Lower secondary or below,Unemployed/not working,Low,London,41,Strongly agree
5,7,Male,Married/living with a partner,Upper secondary education,Employed,,Yorkshire and the Humber,44,Disagree
6,4,Female,Divorced/Separated,Tertiary education,Unemployed/not working,Low-medium,South West,53,Disagree
5,7,Male,Married/living with a partner,Tertiary education,Employed,Low-medium,Wales,61,Disagree
7,99,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,East of England,78,Neither agree nor disagree
0,3,Female,Single,Tertiary education,Unemployed/not working,Low,Wales,31,Strongly agree
4,4,Female,Single,Tertiary education,Employed,Low,North East,27,
6,5,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,Scotland,26,Neither agree nor disagree
8,7,Female,Married/living with a partner,Tertiary education,Other,Low-medium,South West,54,Agree
6,4,Male,Married/living with a partner,Lower secondary or below,Employed,,Yorkshire and the Humber,62,Neither agree nor disagree
8,6,Male,Single,Tertiary education,Unemployed/not working,Low,East Midlands,56,Agree
8,8,Female,Single,Upper secondary education,Other,Low,South East,82,Strongly disagree
6,99,Female,Married/living with a partner,Tertiary education,Employed,Low,London,56,Strongly disagree
6,99,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,,Yorkshire and the Humber,38,Agree
8,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,West Midlands,53,Neither agree nor disagree
5,4,Female,Married/living with a partner,Tertiary education,Other,,Yorkshire and the Humber,68,Neither agree nor disagree
2,6,Male,Single,Upper secondary education,Employed,,North West,26,Neither agree nor disagree
7,8,Female,Single,Tertiary education,Unemployed/not working,High,Wales,24,Strongly disagree
6,5,Male,Married/living with a partner,Upper secondary education,Other,High,North West,66,Neither agree nor disagree
5,7,Female,Married/living with a partner,Tertiary education,Employed,High,London,26,Disagree
9,6,Female,Married/living with a partner,Upper secondary education,Other,Low,South East,69,Strongly disagree
7,6,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,South West,39,Disagree
2,6,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,London,27,Strongly agree
8,7,Female,Single,Lower secondary or below,Other,Low,South West,72,Disagree
6,9,Male,Married/living with a partner,Upper secondary education,Employed,High,South East,59,Disagree
5,6,Male,Married/living with a partner,Lower secondary or below,Unemployed/not working,,West Midlands,54,Neither agree nor disagree
9,5,Female,Single,Lower secondary or below,Employed,,North East,28,Disagree
7,8,Female,Married/living with a partner,Tertiary education,Other,Low-medium,South West,64,Disagree
9,6,Female,Single,Tertiary education,Employed,,South East,23,Strongly disagree
10,1,Male,Married/living with a partner,Tertiary education,Employed,Low-medium,East Midlands,65,Strongly agree
4,8,Male,Married/living with a partner,Upper secondary education,Employed,High,South East,57,Strongly disagree
9,7,Female,Married/living with a partner,Lower secondary or below,Other,,North East,80,Strongly disagree
7,7,Female,Married/living with a partner,Upper secondary education,Employed,High,South East,44,Disagree
0,4,Male,Married/living with a partner,Lower secondary or below,Other,Low-medium,South West,58,Agree
10,6,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,North East,40,Agree
6,7,Male,Single,Tertiary education,Employed,,Scotland,51,Disagree
7,8,Male,Married/living with a partner,Upper secondary education,Employed,High,London,60,Strongly disagree
5,4,Female,Married/living with a partner,Upper secondary education,Other,Low,South West,69,Agree
7,4,Female,Married/living with a partner,Lower secondary or below,Employed,Medium-high,London,41,Disagree
5,6,Male,Married/living with a partner,Lower secondary or below,Other,,South West,66,Disagree
9,6,Male,Married/living with a partner,Upper secondary education,Employed,,North West,67,Strongly disagree
7,7,Male,Married/living with a partner,Upper secondary education,Employed,,Wales,44,Strongly disagree
7,8,Female,Married/living with a partner,Upper secondary education,Employed,,London,28,Disagree
4,4,Male,Single,Tertiary education,Unemployed/not working,High,Yorkshire and the Humber,25,Agree
1,3,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,East of England,52,Agree
8,8,Male,Married/living with a partner,Upper secondary education,Other,High,South East,67,Strongly disagree
8,7,Male,Married/living with a partner,Tertiary education,Other,Low-medium,Scotland,81,Disagree
7,6,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Wales,73,Strongly disagree
4,7,Female,Single,Tertiary education,Employed,Low-medium,West Midlands,29,Disagree
7,6,Female,Married/living with a partner,Lower secondary or below,Other,Low,Wales,73,Disagree
6,7,Male,Married/living with a partner,Tertiary education,Employed,High,Scotland,74,Strongly disagree
6,3,Female,Married/living with a partner,Tertiary education,Other,Low,South West,76,Agree
5,3,Male,Single,Lower secondary or below,Unemployed/not working,Low,North West,52,Agree
7,4,Female,Married/living with a partner,Lower secondary or below,Other,Low,South West,71,Strongly disagree
5,7,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,East Midlands,53,Neither agree nor disagree
7,6,Female,Married/living with a partner,Upper secondary education,Employed,High,London,48,Disagree
5,6,Female,Single,Upper secondary education,Employed,Low,London,55,Neither agree nor disagree
2,2,Male,Single,Upper secondary education,Unemployed/not working,Low-medium,Yorkshire and the Humber,52,Agree
8,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,,North East,59,Strongly disagree
8,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Medium-high,East Midlands,57,Strongly disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,East Midlands,46,Neither agree nor disagree
2,6,Female,Single,Upper secondary education,Other,,South West,71,Neither agree nor disagree
9,7,Male,Married/living with a partner,Lower secondary or below,Other,Medium-high,Wales,64,Strongly disagree
7,7,Male,Married/living with a partner,Tertiary education,Employed,High,South East,46,Neither agree nor disagree
8,7,Male,Married/living with a partner,Tertiary education,Employed,Low-medium,Yorkshire and the Humber,53,Neither agree nor disagree
9,11,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,South East,58,Strongly disagree
7,8,Male,Married/living with a partner,Tertiary education,Other,Medium-high,South West,67,Strongly disagree
8,5,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,South West,35,Disagree
6,6,Female,Single,Upper secondary education,Other,Low,Wales,72,Neither agree nor disagree
5,6,Female,Married/living with a partner,Tertiary education,Employed,High,London,42,Disagree
3,4,Male,Single,Upper secondary education,Employed,High,London,43,Disagree
9,6,Female,Married/living with a partner,Lower secondary or below,Employed,High,Yorkshire and the Humber,57,Disagree
4,8,Female,Married/living with a partner,Upper secondary education,Other,Medium-high,Yorkshire and the Humber,56,Strongly disagree
4,5,Female,Single,Upper secondary education,Employed,,Wales,29,Neither agree nor disagree
9,6,Female,Married/living with a partner,Tertiary education,Employed,Low,Scotland,24,Disagree
7,5,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,Low,South East,60,Agree
6,7,Male,Married/living with a partner,Lower secondary or below,Employed,Medium-high,North East,55,Strongly disagree
3,9,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,North East,54,Neither agree nor disagree
3,1,Male,Married/living with a partner,Lower secondary or below,Other,Low,North West,70,Strongly agree
5,99,Female,Single,Upper secondary education,Unemployed/not working,Low,Northern Ireland,26,
8,7,Female,Divorced/Separated,Lower secondary or below,Other,Low,South East,75,Disagree
4,4,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,East Midlands,70,Disagree
7,5,Male,Single,Lower secondary or below,Other,Low,South West,81,Disagree
8,8,Male,Married/living with a partner,Tertiary education,Employed,High,North East,64,Strongly disagree
7,6,Male,Single,Tertiary education,Employed,Medium-high,North West,41,Disagree
7,8,Male,Single,Tertiary education,Employed,Medium-high,Scotland,69,Strongly disagree
7,8,Male,Married/living with a partner,Upper secondary education,Employed,High,East of England,56,Neither agree nor disagree
8,7,Male,Married/living with a partner,Tertiary education,Employed,High,Yorkshire and the Humber,47,Disagree
8,9,Male,Married/living with a partner,Upper secondary education,Other,Medium-high,North West,72,Strongly disagree
8,99,Female,Single,Upper secondary education,Full time student,,Yorkshire and the Humber,18,Disagree
0,5,Male,Married/living with a partner,Upper secondary education,Other,Low,East of England,64,Strongly agree
7,6,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,Wales,29,Neither agree nor disagree
6,5,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,West Midlands,35,Disagree
7,7,Female,Divorced/Separated,Lower secondary or below,Employed,,North West,63,Disagree
8,7,Male,Married/living with a partner,Tertiary education,Employed,High,North East,28,Disagree
5,7,Male,Married/living with a partner,Upper secondary education,Employed,High,South East,38,Disagree
8,7,Male,Married/living with a partner,Upper secondary education,Employed,High,South East,37,Disagree
7,7,Female,Single,Upper secondary education,Other,,North West,75,Neither agree nor disagree
7,6,Male,Married/living with a partner,Tertiary education,Other,,London,64,Disagree
8,8,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,South West,40,Disagree
8,7,Male,Single,Upper secondary education,Employed,Medium-high,London,47,Neither agree nor disagree
8,8,Male,Married/living with a partner,Upper secondary education,Other,High,West Midlands,77,Neither agree nor disagree
8,7,Male,Married/living with a partner,Tertiary education,Employed,High,North East,32,Disagree
5,5,Female,Single,Tertiary education,Other,,Yorkshire and the Humber,80,Neither agree nor disagree
6,5,Female,Married/living with a partner,Tertiary education,Other,Low,South West,61,Neither agree nor disagree
10,6,Female,Married/living with a partner,Tertiary education,Employed,Low,South East,65,Disagree
3,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low-medium,West Midlands,48,Neither agree nor disagree
4,7,Male,Single,Upper secondary education,Full time student,,West Midlands,23,Disagree
7,6,Male,Married/living with a partner,Lower secondary or below,Employed,,East of England,51,Neither agree nor disagree
7,5,Female,Single,Tertiary education,Employed,Low-medium,Yorkshire and the Humber,30,Strongly disagree
6,8,Male,Married/living with a partner,Tertiary education,Employed,High,London,60,Strongly disagree
2,4,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,North West,36,Agree
8,8,Male,Married/living with a partner,Lower secondary or below,Employed,High,North West,43,Disagree
7,6,Male,Single,Lower secondary or below,Employed,Medium-high,Yorkshire and the Humber,25,Disagree
1,4,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,Wales,58,Agree
6,5,Male,Married/living with a partner,Upper secondary education,Employed,,South East,40,Neither agree nor disagree
8,9,Female,Single,Tertiary education,Other,,South West,76,Neither agree nor disagree
8,8,Male,Single,Upper secondary education,Employed,High,London,53,Disagree
5,6,Male,Single,Lower secondary or below,Employed,Low-medium,South West,61,Agree
8,6,Female,Married/living with a partner,Upper secondary education,Other,Low,Yorkshire and the Humber,66,Disagree
7,7,Male,Married/living with a partner,Lower secondary or below,Other,Low,South West,71,Neither agree nor disagree
4,5,Male,Single,Lower secondary or below,Unemployed/not working,Low,Northern Ireland,53,Agree
7,8,Male,Single,Upper secondary education,Other,Low-medium,South West,73,Neither agree nor disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Other,,South East,78,Disagree
4,8,Male,Married/living with a partner,Lower secondary or below,Other,Low,South West,72,Disagree
8,99,Female,Single,Lower secondary or below,Unemployed/not working,Low,East of England,29,Neither agree nor disagree
8,8,Female,Married/living with a partner,Tertiary education,Unemployed/not working,High,South East,29,Neither agree nor disagree
7,99,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,34,Disagree
7,9,Male,Single,Tertiary education,Other,Medium-high,South East,87,Strongly disagree
7,99,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,North East,38,Disagree
8,5,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,Wales,46,Strongly disagree
3,6,Female,Single,Tertiary education,Employed,,South West,26,Neither agree nor disagree
8,5,Female,Married/living with a partner,Tertiary education,Employed,Medium-high,North West,28,Neither agree nor disagree
6,7,Male,Married/living with a partner,Upper secondary education,Other,,East of England,80,Disagree
0,6,Female,Married/living with a partner,Upper secondary education,Employed,Low-medium,South East,57,Agree
8,6,Male,Married/living with a partner,Lower secondary or below,Other,Low-medium,East of England,66,Disagree
6,6,Male,Single,Lower secondary or below,Other,Low,Yorkshire and the Humber,82,Neither agree nor disagree
9,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,South East,70,Strongly disagree
9,5,Female,Married/living with a partner,Tertiary education,Employed,Low-medium,North East,26,Neither agree nor disagree
9,7,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,Yorkshire and the Humber,73,Disagree
10,6,Female,Married/living with a partner,Upper secondary education,Employed,,North East,41,Disagree
6,6,Male,Married/living with a partner,Tertiary education,Employed,High,North West,47,Neither agree nor disagree
9,7,Female,Single,Tertiary education,Employed,Medium-high,Scotland,21,Disagree
6,7,Female,Married/living with a partner,Upper secondary education,Employed,Medium-high,East Midlands,31,Disagree
9,6,Female,Married/living with a partner,Tertiary education,Other,Medium-high,East of England,69,Disagree
7,6,Female,Married/living with a partner,Upper secondary education,Employed,,London,66,Neither agree nor disagree
6,6,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,62,Strongly disagree
0,4,Female,Married/living with a partner,Tertiary education,Unemployed/not working,Low,East of England,32,Agree
4,8,Female,Single,Tertiary education,Employed,Low-medium,South West,59,Strongly disagree
6,6,Male,Single,Upper secondary education,Other,Low-medium,Scotland,62,Neither agree nor disagree
5,7,Female,Married/living with a partner,Tertiary education,Employed,,South East,49,Disagree
5,7,Male,Single,Lower secondary or below,Employed,Low-medium,North West,27,Agree
6,6,Male,Single,Upper secondary education,Employed,,Wales,36,Disagree
9,7,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,North West,72,Strongly disagree
7,4,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,South East,34,Neither agree nor disagree
8,9,Male,Single,Tertiary education,Employed,High,London,28,Disagree
5,99,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,,London,31,Neither agree nor disagree
4,8,Female,Single,Tertiary education,Employed,,East of England,54,Disagree
8,8,Male,Married/living with a partner,Upper secondary education,Other,Low-medium,East of England,74,Disagree
7,99,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,North West,51,Neither agree nor disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,West Midlands,68,Strongly disagree
8,3,Male,Single,Upper secondary education,Full time student,Low,Wales,20,Strongly disagree
8,7,Female,Married/living with a partner,Tertiary education,Employed,,North West,59,Strongly disagree
5,7,Male,Single,Upper secondary education,Employed,Low-medium,Scotland,27,Disagree
5,5,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,Low,South East,56,Strongly agree
9,7,Female,Single,Tertiary education,Employed,Low-medium,South East,25,Strongly disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Unemployed/not working,Low,North West,56,Neither agree nor disagree
9,7,Female,Single,Lower secondary or below,Other,Low-medium,East of England,69,Strongly disagree
6,5,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,Low,East Midlands,55,Neither agree nor disagree
